bibid,description,score,score_cat
(CKB)2670000000614387,"I didn't read your books. I licked them, I rubbed them all over my naked body and licked them.    Protasov, detached and idealistic, wants only to immerse himself in chemical experiments to perfect mankind. He's more or less oblivious to the voracious advances of the half-crazed widow Melaniya and his best friend's unrelenting pursuit of his wife, let alone the cholera epidemic and the starving mob at his gates. While Nanny fusses round, Protasov's admiring circle, variously skeptical, romantic and lovesick, spar over culture and the cosmos. Only Liza, neurotic and patronized, feels the suffering of the peasantry and senses that their own privileged world is in jeopardy.    Gone? They're everywhere. Have you heard about the riots? The starvation and the flagrant disregard of authority. This disregard is building walls and barriers between us all. And they are massing. The crowds of angry people. And the hate... the hate between us all... kills everything.      Written during the abortive Russian Revolution of 1905, Maxim Gorky's darkly comic Children of the Sun depicts the new middle-class, foolish perhaps but likeable, as they flounder around, philosophizing, yearning, or scuttling between test tubes, blind to their impending annihilation.    This is Andrew Upton's fourth English version of a play for the National by one of the great Russian masters, including his acclaimed adaptation of Gorky's Philistines.",0.35042006,.25-.4999
(YBPDDA)ebs2713634,"A small town-Ohio freshman high school student tries to keep a low profile, but his world is upended upon the arrival of a Sikh teen, who befriends him.",0.3500165,.25-.4999
(OCoLC)1227693109,"A small town-Ohio freshman high school student tries to keep a low profile, but his world is upended upon the arrival of a Sikh teen, who befriends him.",0.35001647,.25-.4999
(OCoLC)786193977,Princess Alexandra Declares Nigeria Independent (Mute),0.34958372,.25-.4999
(OCoLC)869223638,"Clowns performing at a hospital (9/28/31, Boston) and a patients vs. nurses soccer game (9/13/16, London) are featured in this video clip.",0.34954613,.25-.4999
(VaAlASP)3243443,This issue of Little Butch (Mr. Groovy) includes an article about a social worker's disappointment in a gay group when seeking help for a friend; and one on the musk oil fad.,0.34933046,.25-.4999
(OCoLC)828739263,"Uncovers the inequities of restaurant labor in the United States, from low wages and poor employee benefits to sexual harassment, unsafe working conditions, and the hypocrisy of ethical, free-trade restaurants.",0.34869996,.25-.4999
(OCoLC)ocm48199530,"The evil witch Baba Yaga puts a beautiful maiden into a frozen sleep from which only true love can free her. Father Frost helps the maiden and her hero, Ivan, overcome the many difficulties placed before them.",0.3483585,.25-.4999
(YBPDDA)ebc5703780,"""Only Pretty Damned is a taut noir that takes you behind the big top, revealing rough and tumble characters, murderous plots, and crooked schemes designed to keep Rowland's World Class Circus afloat for another season. When Toby, former trapeze artist turned disgruntled clown, begins seeing Gloria, a young and beautiful dancer longing for a bigger role under the spotlight, his hardboiled past resurfaces. Can he live without Genevieve, his ex-trapeze partner and lover? What ruthless actions will he take to regain his position as the headlining act? And will Toby's past repeat itself as he tries to untangle the ropes that bind him and take a leap to roaring applause? Only Pretty Damned combines the pace and tone of James M. Cain's The Postman Always Rings Twice with the postwar world of Cecil B. DeMille's The Greatest Show On Earth.""--",0.34829906,.25-.4999
(DeGFP-Ag)652,"Governor John Connally, eight girl scouts and two leaders from Dallas, Texas.",0.3482404,.25-.4999
(VaAlASP)2769066,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767536,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767564,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768847,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767654,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768870,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767688,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768789,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768667,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767872,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768110,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768075,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768038,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768005,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768252,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768217,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768176,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768142,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768392,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768819,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767802,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767907,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768908,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769265,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769101,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769226,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769198,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769168,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769136,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769397,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769364,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769333,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769301,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767943,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769493,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769463,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769430,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768937,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768969,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767841,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767973,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769001,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768757,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768356,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768726,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2769030,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768567,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767761,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767725,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768323,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767625,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768696,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2767593,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768536,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768608,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768639,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768393,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768430,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768466,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768499,A magazine for gay liberation.,0.34822026,.25-.4999
(VaAlASP)2768298,A magazine for gay liberation.,0.34822026,.25-.4999
(OCoLC)40494920,"James Ballard, a bored film director, explores a psycho-sexual link between sex and car crashes.  He joins Dr. Helen Remington to explore the eroticism of the car and the sexual violence of auto accidents.  His quest eventually leads him to Vaughan, a renegade scientist.",0.34777158,.25-.4999
(VaAlASP)3152981,"Letter from Sam Ciraulo to Gay Caucus of the California Democratic Council  club presidents regarding minutes of statewide Gay Caucus meetings held in Fresno, CA.",0.34681866,.25-.4999
(VaAlASP)3156194,Essay by Don Kilhefner calling for the gay and lesbian community to continue boycotting Coors Brewing Company.,0.34672853,.25-.4999
(OCoLC)1021290389,The explosion of racial hate in an Alabama town is viewed by a little girl whose father defends a black man accused of rape.,0.34666586,.25-.4999
(OCoLC)ocm49302032,"Peter Fonda joins up with Hell's Angels of Venice, California as Heavenly Blues, leader of a biker pack hell-bent against conformity. Tragedy strikes when a brawl is stopped short by the Law, and Loser (Bruce Dern) is shot down and captured.",0.34645218,.25-.4999
(OCoLC)1131751517,"The legendary Tomas Milian stars as Cuchillo, a knife-throwing thief on the run from murderous bandits, sadistic American agents, his hot-blooded fiance (Chelo Alonso) and a sheriff turned bounty hunter (Donal OBrien), all of whom are gunning for a hidden fortune in gold that could finance the Mexican Revolution.",0.34638128,.25-.4999
(YBPDDA)ebc4013110,"A true collection of people's worst, most embarrassing, and weirdest sex stories. It also includes 30-50 essays, sexual trivia and statistics and some sidebars.",0.34637064,.25-.4999
(OCoLC)ocm18873666,"A Southern folktale in which kind Blanche, following the instructions of an old witch, gains riches, while her greedy sister makes fun of the old woman and is duly rewarded.",0.3460929,.25-.4999
(CKB)2550000001145508,"Nine-year-old Zulema, the meanest girl in school, decides to change her wicked ways after receiving a visit from the witch owl.",0.34605795,.25-.4999
(CKB)1000000000805587,"White recreates the experience of black New Yorkers as they moved from slavery to freedom. Through research, he imaginatively recovers the raucous world of the street, the elegance of the city's African American balls and the grubbiness of the Police Office.",0.3460264,.25-.4999
(OCoLC)ocn889651710,"Dot doesn't hate her father, she just wants to explode him out of his office tower to shake things up. Set him off. See what happens. And get an ""A"" on her science project. . . Daring to challenge the law of physics, Dot interviews her flailing father and neurotic mother, as their world crashes to the ground. Just imagine. Your life in six seconds.",0.34571654,.25-.4999
(OCoLC)ocm71209174,"Liam Neeson stars as Jean Valjean, a heartless convict who is transformed by a single act of mercy. Uma Thurman is Fantine, the vulnerable prostitute who begs Valjean to raise her only child.Geoffrey Rush is an ambitious policeman determined to return Valjean to prison.",0.3453418,.25-.4999
(OCoLC)ocn455558662,"A young Florida attorney is hired at a New York firm, where his boss is Satan.",0.34512287,.25-.4999
(OCoLC)ocm52493212,"Jack Crabb is 121 years old. And he's done it all. He's been a full-fledged Cheyenne, an Indian fighter, a snake oil merchant, master gunman, drinking buddy of wild Bill Hickok, colleague of Buffalo Bill, and is the only survivor of Custer's Last Stand. Crabb is either the Old West's most neglected hero or the biggest liar ever to cross the Mississippi. Little Big Man is Jack Crabb's story.",0.34501445,.25-.4999
(OCoLC)ocn212382901,"When Prince Ahmad is blinded and cast out of Bagdad by the nefarious Jaffar, he joins forces with the scrappy thief Abu to win back his royal place, as well as the heart of a beautiful princess.",0.3445185,.25-.4999
(OCoLC)ocm49397071,"Belle, whose father Maurice is imprisoned by the Beast (really an enchanted Prince), offers herself instead and finds the prince inside the Beast.",0.34450033,.25-.4999
(OCoLC)ocm42599956,"Dunye has cast herself as Cheryl, a young African-American lesbian filmmaker who is putting together a documentary on Fae Richards, a black 1930s movie actress who had an off-screen affair with a white woman and was known as ""the Watermelon Woman"".",0.34427813,.25-.4999
(OCoLC)ocm56103905,"McGowan enlisted in the army in the late 1980s with a secret: he was gay. In the don't-ask-don't-tell world of the Clinton-era army, being gay meant automatic expulsion, so he hid his sexual identity and continued to serve with distinction for ten years. He commanded U.S. troops in the Persian Gulf, eventually rising to the rank of major, but ultimately realized that the army held no future for gay men--even closeted ones.",0.3442649,.25-.4999
(OCoLC)ocm44505344,Glen or Glenda is about a transvestite who can't figure out how to tell his girl that he likes to wear her clothes.,0.34371093,.25-.4999
(OCoLC)ocm26110251,"Documents New York City's Gay community's response to the AIDS    crisis.  Having neither the time nor the patience to mince words, groups like   ACT-UP, Queer Nation and Gay Men's Health Crisis demand a response to the       epidemic that has threatened to annihilate them, by a society that would rather ignore them.",0.34369203,.25-.4999
(OCoLC)ocn745479126,"When two teens 'accidentally' begin murdering the most popular kids in school, suicide suddenly becomes the 'in' thing to do.",0.3435599,.25-.4999
(OCoLC)1126667197,Roy Cohn was a ruthless and unscrupulous lawyer and political power broker whose 28-year career ranged from acting as chief counsel to Senator Joseph McCarthy's Communist-hunting subcommittee to molding the career of a young Queens real estate developer named Donald Trump.,0.34350207,.25-.4999
(OCoLC)1148903297,"Charlie Casanova is the critically acclaimed, highly controversial film from writer/director Terry McMahon. It's the story of an upper-class genius-level sociopath, Charlie Barnum. Charlie is an educated, fast-talking egotist, who refuses to be bound by the restrictions of morality, law, or even reality. When he kills a girl in a hit-and-run, he determines his fate with a deck of cards.",0.34315446,.25-.4999
(OCoLC)ocm86090238,"In 1859, eleven-year-old Elijah Freeman, the first free-born child in Buxton, Canada, which is a haven for slaves fleeing the American south, uses his wits and skills to try to bring to justice the lying preacher who has stolen money that was to be used to buy a family's freedom.",0.34296885,.25-.4999
(OCoLC)ocm54999869,"""When her domineering father collapses of a heart attack during their vacation in Rome, virginal spinster Martha encounters the man of her dreams, the sadistic engineer Helmut. Their marriage soon becomes a chamber piece of matrimonial terror""--Container.",0.34292516,.25-.4999
(VaAlASP)5131558,"In August 1933, Violette Nozière, 18, killed her father by poisoning in Paris. After a short period on the run, she was charged with murder and swiftly confessed to the crime, saying her motive was that he abused her. The press and public were immediately fascinated by this patricidal teenager, who became known as “the monster in the skirt”.",0.34271988,.25-.4999
(OCoLC)ocm53898534,"Trip into the living room of comedy writer Rob Petrie, lovely wife, Laura, his son, wisecracking co-workers and nutty neighbors.",0.34246787,.25-.4999
(OCoLC)ocm42250280,"Two zany drifters are mistakenly sent to prison for a robbery they didn't commit. They must rely on their wits in order to survive a sadistic warden, a hulking mass-murderer and worst of all, the inter-prison rodeo.",0.34195486,.25-.4999
(OCoLC)ocm49243533,"The life of Dora Carrington, the Victorian Era painter whose passionate life created one of England's greatest scandals. Unable to possess the one man she loves, Lytton Strachey, Carrington embarks on a long string of loveless sexual encounters.",0.3417978,.25-.4999
(OCoLC)836716524,"Cuba - dumpsters full of trash and trash laying around them, a woman walks by",0.34174708,.25-.4999
(OCoLC)ocn902918998,"""Man in scrubs"" follows the story of a queer black nurse who is getting awfully tired of being put in a box. He's queer, not gay, and he'll tell you the difference. He's always been an outcast, and constantly finds himself at the bottom of any and every hierarchy. With his patience waning, he confronts what it means to be an outsider, and, more importantly, what it means to take charge of one's own identity.",0.34150448,.25-.4999
(SVADB)1771,"Scott Howard, a short, rather ordinary high school boy, discovering he is a descendent of werewolves, is able as a result to lead his school' s pathetic basketball team to victory, becomes a hallway VP and gets the most beautiful girl in the school to fawn over him. Yet, he fears that his popular werewolf personality will ultimately take over his "" real self,"" until he scores a victory on his own.",0.34110922,.25-.4999
(OCoLC)770704874,The daughter of Grenadan immigrants grows up Harlem in a story that illuminates the life of an African-American lesbian in the mid-20th century.,0.34106198,.25-.4999
(CKB)1000000000400530,"'His book captures the nostalgic romanticism of the Australian bush in the 1960's but also the height of deep ignorance and the culture of 'see no evil' in which almost all who could and should have changed things, looked the other way... Caiseal's book is as beautiful and magical as it is shocking.'. - From the Foreword by Donna Williams. Growing up in Australia in the 1970's, Caiseal Mor was labelled 'retarded' and 'an idiot', and his parents were led to believe that physical punishment could cure his autism. In this courageous and captivating autobiography, Mor vividly captures...",0.34092006,.25-.4999
(OCoLC)1102644288,"A modern re-telling of Shakespeare's A Midsummer Nights Dream, this is a crazy screwball comedy of unrequited love and altered states of sexual orientation. An Existentialist Science-Fiction Sex Farce - just as the Bard intended.",0.34085587,.25-.4999
(OCoLC)933925278,A violent thug saves a woman from trying to commit suicide and ends up raping her. Despite everything these two lost souls develop a bond.,0.3407959,.25-.4999
(CKB)4100000011364734,"Idiot's Guides: Guitar Theory is music theory for guitar and other fretboard instruments. Beginning with very simple and clear explanations, the book defines notes, their names, relationships, and guitar tablature and then explains rhythm, keeping time, and strumming. The book then goes into depth on the major scale and the four basic chords, to make guitar theory very clear and keep it easy, before going into all the chords and scales. The last part of the book covers playing solo and with others. There is more than an hour of listen- and follow-along audio files online with all of the music in the book and more.",0.34003893,.25-.4999
(CKB)2550000000042744,"The 1912 Boyce-Sneed feud in West Texas began with a torrid sex scandal at the core of a love triangle, featuring Lena Snyder Sneed, the high-spirited, headstrong wife; Al Boyce, Jr., Lena's reckless, romantic lover; and John Beal Sneed, Lena's arrogant, grim, and vindictive husband, who responded to Lena's plea for a divorce by having her locked up in an insane asylum on grounds of ""moral insanity."" Frustrated by Al's escape to Canada, Sneed assassinated Al's aged and unarmed father, Colonel Albert Boyce, who had been defending his son. Sneed's well-paid legal team first earned him a mistrial",0.33997333,.25-.4999
(OCoLC)836716396,Black residents of South African township taunt white police,0.33986485,.25-.4999
(OCoLC)ocm55739720,Two English lovers vacationing in Venice are lured into a forbidden world of dark sexuality and murder.,0.33977294,.25-.4999
(CKB)3710000000231251,"A gay man's murder leads Hastings to a blackmail plotCharles Hardaway climbs the hill to his house, immediately missing the bright lights and conversation of the bar and dreading the return to his lover, who is slowly dying of AIDS. But Hardaway's self-pity is interrupted by a pipe-wielding stranger, who crushes his skull before slipping away. It's nighttime in the Castro, and another gay man has been sent to his grave.Homicide lieutenant Frank Hastings is tempted to write the killing off as another heinous instance of gay-bashing, but witnesses say the killer was alone, and seemed to know the",0.33973348,.25-.4999
(OCoLC)959979430,"Michel Winock situates Flaubert in France's century of great democratic transition. Wary of the masses, Flaubert rejected universal suffrage, but above all he hated the vulgar, ignorant bourgeoisie, a class that embodied every vice of the democratic age. His loathing became a fixation--and a source of literary inspiration.--",0.33968806,.25-.4999
(OCoLC)ocn945729902,"Michel Winock situates Flaubert in France's century of great democratic transition. Wary of the masses, Flaubert rejected universal suffrage, but above all he hated the vulgar, ignorant bourgeoisie, a class that embodied every vice of the democratic age. His loathing became a fixation--and a source of literary inspiration.--",0.33968797,.25-.4999
(CKB)3790000000062460,"Professor Hector Torres explains the development of gay identity, shame and the impact this identity has on gay men, and offers recommendations for therapists.",0.3394882,.25-.4999
(CKB)1000000000788409,"Meet the economic gangster. He's the United Nations diplomat who double-parks his Mercedes on New York City streets at rush hour because the cops can't touch him--he has diplomatic immunity. He's the Chinese smuggler who dodges tariffs by magically transforming frozen chickens into frozen turkeys. The dictator, the warlord, the unscrupulous bureaucrat who bilks the developing world of billions in aid. The calculating crook who views stealing and murder as just another part of his business strategy. And, in the wrong set of circumstances, he might just be you.   In Economic Gangsters",0.3394493,.25-.4999
(OCoLC)ocm42203130,"A 747 heading from New York to L.A. is taken over by a seductive psychopathic serial killer, and the only one who can stop him is a beautiful young flight attendant.",0.33938602,.25-.4999
(OCoLC)ocm65664077,"Arnie Cole is a lovable Cockney rogue who wants to move up in the fledgling silent-film industry. Prowling for potential investors, Arnie finds haughty, hypercritical Maud and gets far more than he bargained for. While keeping creditors at bay, squabbling actors on task, and an egotistical director under budget, Arnie and Maud try to build a business based on make-believe. In the process, they mangage to kindle an unorthodox, but very real, romance.",0.33936527,.25-.4999
(OCoLC)ocn900623413,"Fleeing from his nemesis, Killer Boots, Cash McLendon seeks refuge in Dodge City with a band of buffalo hunters who head south to the Texas panhandle into forbidden Indian Territory.",0.3390736,.25-.4999
(OCoLC)836715750,British soldiers on street in Londonderry (Northern Ireland) with kids,0.33884272,.25-.4999
(OCoLC)ocm56396972,"A reporter sent to Europe to cover a peace conference falls in love with a diplomat's daughter, but discovers that her father is the head of a Nazi spy ring.",0.33874166,.25-.4999
(OCoLC)ocn311684437,"As a mysterious plague falls upon the village of Meryton and zombies start rising from the dead, Elizabeth Bennett is determined to destroy the evil menace, but becomes distracted by the arrival of the dashing and arrogant Mr. Darcy.",0.33870697,.25-.4999
(VaAlASP)3174758,Flyer advertising gay women's films at the Gateway Cinema to raise money for BACABI.,0.33830795,.25-.4999
(OCoLC)ocm52813608,The Pygmalion-like story of a Greek prostitute and the American who decides to educate her in the hope that she will abandon her streetwalking.,0.33827594,.25-.4999
(OCoLC)ocm43992054,"Harrowing look at the bizarre, self-destructive, yet compelling relationship between British punk rock singer Sid Vicious (of the Sex Pistols) and American groupie, Nancy Spungen in the 1970's -- L. Maltin.",0.3382716,.25-.4999
(CKB)3710000001068436,"Dr. Cathy Marcum discusses sexual and social relationships in prison, plus the different hierarchies and structures they follow. She highlights sexual assault in prison, staff-prisoner relationships, and the Prison Rape Elimination Act.",0.33826733,.25-.4999
(OCoLC)1083585817,"In a study that explodes the assumption that early modern comic culture was created by men for men, Pamela Allen Brown shows that jest books, plays, and ballads represented women as laugh-getters and sought out the laughter of ordinary women. Disputing the claim that non-elite women had little access to popular culture because of their low literacy and social marginality, Brown demonstrates that women often bested all comers in the arenas of jesting, gaining a few heady moments of agency. Juxtaposing the literature of jest against court records, sermons, and conduct books, Brown employs a witty, entertaining style to propose that non-elite women used jests to test the limits of their subjection. She also shows how women's mocking laughter could function as a means of social control in closely watched neighborhoods. While official culture beatified the sheep-like wife and disciplined the scold, jesting culture often applauded the satiric shrew, whether her target was priest, cuckold, or rapist. Brown argues that listening for women's laughter can shed light on both the dramas of the street and those of the stage: plays from The Massacre of the Innocents to The Merry Wives of Windsor to The Woman's Prize taught audiences the importance of gossips' alliances as protection against slanderers, lechers, tyrants, and wife-beaters. Other jests, ballads, jigs, and plays show women reveling in tales of female roguery or scoffing at the perverse patience of Griselda. As Brown points out, some women found Griselda types annoying and even foolish: better be a shrew than a sheep.",0.33816755,.25-.4999
(OCoLC)1137846050,"In the standout performance of the Electric Proms 2007, Sir Paul McCartney performs a track from his album Memory Almost Full as well as crowd-pleasing classics including Band on the Run, Live and Let Die, and Hey Jude.",0.3381366,.25-.4999
(VaAlASP)3230918,"Cameron Lasley was born in 1982 with Down syndrome, and in those first days, pediatricians didn't know whether he would walk or talk or do anything other kids do. These days, ""Laz D"" does more than walk and talk. He struts and raps.",0.3380974,.25-.4999
(OCoLC)1012717667,"""Sixteen-year-old Evan Wills is an avid bird watcher who wears colorful songbird shirts to school despite the constant antagonism it brings him. Evan's mother just wants Evan to be normal, and happy--and normal--and get along with her new boyfriend. While Evan summons the courage to talk to Jenny Monroe (whose locker is next to his), troubled bully Dylan has something darker in mind. After some stupid choices and unexpected results, Evan learns that the worst thing you can do in high school is admit you love something.""--Page [4] of cover.",0.33766392,.25-.4999
(OCoLC)1288166150,A psychotic taxi driver tries to save a child prostitute and becomes infatuated with a political campaigner. He goes on a violent rampage when his dreams don't work out.,0.33645594,.25-.4999
(OCoLC)ocn144789136,A psychotic taxi driver tries to save a child prostitute and becomes infatuated with a political campaigner. He goes on a violent rampage when his dreams don't work out.,0.33645564,.25-.4999
(OCoLC)ocm00305915,"When the Czar proclaims that he will marry his daughter to the man who brings him a flying ship, the Fool of the World sets out to try his luck and meets some unusual companions on the way.",0.3363107,.25-.4999
(CKB)1000000000555839,"Feeling Like Crap explores how a young person's self is constructed, and what might help that self to feel more valued and confident. It demonstrates how listening to, engaging with and being respectful of young people can provide the support they need to help them repair their sense of self and offer them new possibilities and directions in life.",0.33627653,.25-.4999
(OCoLC)1081075659,"About racial prejudice and emotional unrest in 1940s Georgia. Henry Warren is an unscrupulous and racist landowner obsessed with buying up all available land in a Georgia farming town. Blocking his path are sharecroppers Rod McDowell and Reeve Scott, one white and one black.",0.33612248,.25-.4999
(OCoLC)ocn714166241,"About racial prejudice and emotional unrest in 1940s Georgia. Henry Warren is an unscrupulous and racist landowner obsessed with buying up all available land in a Georgia farming town. Blocking his path are sharecroppers Rod McDowell and Reeve Scott, one white and one black.",0.33612248,.25-.4999
(OCoLC)ocm33863627,"A grouchy ladybug, looking for a fight, challenges everyone she meets regardless of their size or strength.",0.33579618,.25-.4999
(OCoLC)ocm52523453,"""A poor boy becomes friends with a rich girl.  He has a pigeon which he sells, but since it is a homing pigeon, he can sell it over and over again.  The bird becomes the symbol of his friendship for the girl as well, but in the end she has her brother shoot and kill it."" -- Container.",0.3357222,.25-.4999
(OCoLC)ocm52393636,"Bick Benedict, his society-gilded wife and three generations of land-rich Texas sons and daughters love, swagger, connive and clash in a monumental drama of family strife, racial bigotry and conflict between cattle barons and newly-rich oil tycoons.",0.33562416,.25-.4999
(OCoLC)1078557264,"Where oh where does the time go? Would you believe that today we are spending nine years and nine months of our lives on the sofa, five years on the Internet, and only three months of our lives having sex?",0.33542368,.25-.4999
(YBPDDA)ebc4805167,It is critical for trans-amorous people to hold themselves accountable in a world that is unfriendly to their trans* lovers.,0.3352594,.25-.4999
(OCoLC)ocm32810647,"Six short films present stories of different neighborhoods of Paris. In ""Rue Saint Denis"", an experienced prostitute picks up a virginal dishwasher; in ""Place de l'Etoile"", a timid salesclerk thinks he has committed murder; in Montparnasse et Levallois, a woman is afraid she has mixed up letters to her two boyfriend; in ""La muette"" a young boy finds a way to ignore his obnoxious parents.",0.3351227,.25-.4999
(OCoLC)ocm20442275,"In this chronicle of the Middle Ages, Francois de Cortemare's beautiful daughter, Beatrice, guards the family homestead awaiting her father's return from war. But the man she worships returns an embittered, depraved monster.",0.3350828,.25-.4999
(OCoLC)ocm04037372,Kind Beauty grows to love the Beast at whose castle she is compelled to stay and through her love releases him from the spell which had turned him from a handsome prince into an ugly beast.,0.33502927,.25-.4999
(CKB)2670000000522500," Acting: Cut the Crap, Cue the Truth fills a gap in the drama school curriculum, tackling many areas which are unaddressed during training and discussing issues that are more often than not hushed up afterwards. Starting from the vital final stages of training, and on to life as a professional, Natalie Burt - a young, jobbing actress - moves systematically through the challenges that every actor faces; from making strategic career decisions, to the logistics of TV and film sets and voice over work, to more personal matters such as renting and flat-sharing, finance and well-being when out of ",0.33408803,.25-.4999
(CKB)2550000001006022,"People call it everything from ""walking your dog"" to ""scratching your bean."" Women usually do it at home. Men, it sometimes seems, do it everywhere. Some people think it's healthy; others think it is a sin that will send you straight to hell. But while many people declare that everyone's doing it, no one actually talks about it-outside the pages of Cosmo, masturbation is among the most taboo of topics, not suitable for polite society or public conversation.Mels van Driel boldly breaks this silence in order to help the world overcome its diffidence toward solo sex in With ",0.33401576,.25-.4999
(CKB)3790000000023554," Extrait : """"LÉLIA, entrant, elle est enveloppée dans une sortie de bal ; parlant à la cantonade : Tu m'as bien compris, Beppo. - Va à l'hôtel, fais atteler, et reviens me prendre, le plus tôt possible. ( Refermant la porte et entrant. ) Oh ! non, bien certainement, je ne resterai pas plus longtemps à ce bal maudit ! Pourquoi, aussi, Valentine fait-elle danser un vendredi ! un jour d'abstinence ! et un treize ! Oh ! ces Parisiennes ! elles ne respectent rien ! pas même les...""""À PROPOS DES ÉDITIONS LIGARANLes éditions LIGARAN proposent des versions numériques de qualité de grands livres de la ",0.33389306,.25-.4999
(OCoLC)1076328596,"Frankie and her team uncover one of the most offensive internet trolls they have ever seen when they hear X Factor star Chloe Jasmine's story. The level of misogyny and racism that this unrepentant troll sends to anyone in the public eye is unprecedented so they are determined to expose him and make him explain himself. While the team track him down to his home address in Glasgow, Frankie also hears the story of footballer's wife Rebekah Vardy, who shares her harrowing story of the football fanatics who targeted her 2-year-old daughter with rape threats. She also hears the inspirational story of Joshua Hewitt, the 20-year-old who suffers from Asperger's Syndrome. Despite being targeted as a schoolboy by online bullies so badly that he attempted suicide, he has turned the experience into a positive and now mentors other victims of trolling through a hugely popular YouTube channel. The episode ends with a dramatic dawn confrontation between Chloe Jasmine and her abusive troll.",0.33369544,.25-.4999
(OCoLC)ocm46912000,"History's most infamous sexual adventurer lives in a madhouse, where a beautiful laundry maid helps him smuggle his erotic stories to the printer, defying orders from the asylum's priest.",0.33296782,.25-.4999
(OCoLC)ocn310769049,"Inside Jacob Jankowski's ninety something year old mind dwell memories of himself as a young man, tossed by fate into the Benzini Brothers most spectacular show on earth. Memories of a world filled with freaks and clowns, with wonder and pain and anger and passion. A world with its own narrow irrational rules, its own way of life, and its own way of death. The world of the circus.",0.33260944,.25-.4999
